year,component,amount
2020,parental_support,2000
2020,specialist_subject,1000
2020,training_grant,5000
2021,parental_support,2000
2021,specialist_subject,1000
2021,training_grant,5000
2022,parental_support,2000
2022,specialist_subject,1000
2022,training_grant,5000
2023,parental_support,2000
2023,specialist_subject,1000
2023,training_grant,5000
2024,parental_support,2000
2024,specialist_subject,1000
2024,training_grant,5000
2025,parental_support,2000
2025,specialist_subject,1000
2025,training_grant,5000
2026,parental_support,2000
2026,specialist_subject,1000
2026,training_grant,5000
